"url";"type";"category";"price";"rooms";"bedrooms";"bathrooms";"walkscore";"year_built";"high_schools";"primary_schools";"transit_friendly";"groceries";"restaurants";"pedestrian_friendly";"greenery";"historic";"cycling_friendly";"car_friendly";"vibrant";"shopping";"daycares";"nightlife";"cafes";"quiet";"parks";"lat";"lng";"lot_area_sqft";"lot_area_m2";"parking_driveway";"parking_garage";"parking_carport";"bedrooms_basement";"powder_rooms";"tipology";"neighbourhood"
"https://www.centris.ca/en/condos~for-sale~mont-royal/25458715?view=summary";"sale";"condo for sale";709000;9;2;1;78;1938;4;5;4;3;3,5;4;3,5;1,5;4;3,5;2;4;5;1,5;2;3;4,5;45,51384904;-73,64338997;NA;NA;NA;1;NA;0;1;"condo";"Mont-Royal"
"https://www.centris.ca/en/houses~for-sale~montreal-verdun-ile-des-soeurs/21520585?view=summary";"sale";"house for sale";2275000;9;3;2;59;1999;1;1,5;2,5;3;2,5;2,5;2,5;0;4;4,5;1;2;4,5;0,5;2;5;4;45,464869;-73,545355;4340;403,195837978447;1;2;NA;1;1;"house";"Verdun"
"https://www.centris.ca/en/condos~for-sale~montreal-outremont/14097360?view=summary";"sale";"condo for sale";1210000;7;2;2;83;NA;4,5;4,5;4,5;5;4;5;4;3;4,5;2;3,5;5;5;3;3;3;5;45,523728;-73,611389;NA;NA;NA;1;NA;0;0;"condo";"Outremont"
"https://www.centris.ca/en/condos~for-sale~montreal-saint-laurent/18814497?view=summary";"sale";"condo for sale";329000;5;2;1;63;1978;4,5;4,5;3,5;4,5;3;3,5;3;1;2;4;1,5;3,5;5;1;1,5;3;4;45,519552;-73,671788;NA;NA;NA;NA;NA;0;0;"condo";"Saint-Laurent"
"https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/10687252?view=summary";"sale";"triplex for sale";1050000;0;0;0;46;1930;2,5;5;3;2;2,5;3,5;2;2;2,5;4,5;1,5;2,5;5;2;2,5;3,5;4;45,439539;-73,667359;1900;176,51430694909;NA;NA;NA;0;0;"triplex";"Lachine"
"https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14719720?view=summary";"sale";"condo for sale";363649;3;1;1;64;NA;0;2,5;4;4,5;3;3;2,5;0;3;3,5;1,5;3,5;4,5;1,5;2,5;3;5;45,44083395;-73,61688639;NA;NA;NA;NA;NA;0;0;"condo";"LaSalle"
"https://www.centris.ca/en/condos~for-sale~montreal-le-sud-ouest/11173580?view=summary";"sale";"condo for sale";422900;9;2;1;80;1984;3,5;5;5;4;4,5;5;4,5;3;3,5;3;3,5;4,5;5;3;4;3;5;45,488398;-73,572174;NA;NA;NA;1;NA;0;0;"condo";"Le Sud-Ouest"
"https://www.centris.ca/en/triplexes~for-sale~montreal-verdun-ile-des-soeurs/26896627?view=summary";"sale";"triplex for sale";899000;0;0;0;77;1912;4;5;5;4;3,5;5;3;2,5;4;3;2,5;4;5;2;3;4,5;5;45,46894552;-73,56875171;1819;168,989223337049;1;NA;NA;0;0;"triplex";"Verdun"
"https://www.centris.ca/en/houses~for-sale~westmount/14391060?view=summary";"sale";"house for sale";1595000;8;3;2;89;1910;4;4,5;4,5;4,5;4;5;4,5;2,5;2;3;2,5;4,5;4,5;2;3;2;4,5;45,47893538;-73,59950931;1944;180,602006688963;1;NA;NA;1;1;"house";"Westmount"
"https://www.centris.ca/en/condos~for-sale~montreal-le-sud-ouest/21140017?view=summary";"sale";"condo for sale";358000;4;1;1;83;2014;1,5;4,5;5;4,5;4,5;5;1,5;3;5;2,5;3,5;5;5;3,5;4;2;5;45,494705;-73,558157;NA;NA;NA;NA;NA;0;0;"condo";"Le Sud-Ouest"
