"url";"agents_name";"agents_job"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-leonard/25699008?view=summary";"Paméla Taylor";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/26578602?view=summary";"Marina Pietrantonio";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/12418991?view=summary";"Zuo Xing Ye";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/20105477?view=summary";"Anastasia Zoitakis";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/27221735?view=summary";"Josie Villella";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/16725801?view=summary";"François Mackay";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ahuntsic-cartierville/16725801?view=summary";"Caroline Tanguay-Gingras";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/17764580?view=summary";"Jürgen Diaz-Angeles";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/17764580?view=summary";"Martin Cheff";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/18368599?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/11831993?view=summary";"Olivier Rigal";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9235813?view=summary";"Georges Bardagi";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/18522633?view=summary";"Danielle Marcotte";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/houses~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/14678776?view=summary";"David Doubt";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/14678776?view=summary";"Carl Signer";"Residential Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~montreal-rosemont-la-petite-patrie/27899079?view=summary";"Patrick Gattereau";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/20555400?view=summary";"Rose-Michelle Nicolas";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/20555400?view=summary";"Martin Cheff";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/19071854?view=summary";"Marie-Josée Rouleau";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/12485815?view=summary";"Rose-Michelle Nicolas";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/12485815?view=summary";"Martin Cheff";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-lasalle/19563875?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~pointe-claire/17295877?view=summary";"Abbas Esmaili";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~pointe-claire/17295877?view=summary";"Josiane Esmaili";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/24531583?view=summary";"Frank Merenda";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-rosemont-la-petite-patrie/24531583?view=summary";"Karine Faille";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/10433651?view=summary";"Patrick Delage";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-saint-laurent/17500908?view=summary";"Peter Kavouras";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/10805443?view=summary";"Keren Liu";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/10805443?view=summary";"Chengkai Yang";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/10004370?view=summary";"Hicham Hamdi Inc.";"Business corporation owned by a Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~dollard-des-ormeaux/15423735?view=summary";"Daniel Dagenais";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/10904150?view=summary";"Michelle Salle";"Residential Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~montreal-pierrefonds-roxboro/13766292?view=summary";"Wei Wang inc.";"Business corporation owned by a Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/23075957?view=summary";"Joyce Croitoru";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/13364127?view=summary";"Nadine Mansur";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-le-sud-ouest/14656658?view=summary";"Monique Assouline";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-mercier-hochelaga-maisonneuve/14723112?view=summary";"Peter Rawski";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~beaconsfield/27939437?view=summary";"Afshin Mortazavi";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9461380?view=summary";"Han Hui Jiang";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/24344601?view=summary";"Laura Dayan";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-cote-des-neiges-notre-dame-de-grace/24344601?view=summary";"Alégria Perez";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-outremont/12245000?view=summary";"Marina Pietrantonio";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22396047?view=summary";"Yucong Wang";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/26065168?view=summary";"Adil Baamar";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/houses~for-rent~kirkland/16710979?view=summary";"Shawna Mulligan";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24975012?view=summary";"Amy Assaad";"Certified Residential and Commercial Real Estate Broker AEO"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/24975012?view=summary";"Chen Bo Huang";"Residential Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/11087519?view=summary";"Priscilla Peng";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/11765419?view=summary";"Tristan Pungartnik";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~pointe-claire/9043100?view=summary";"Renda Lasdin";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/9734633?view=summary";"Carlos Ghazal";"Certified Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/22498648?view=summary";"Sacha De Santis";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-verdun-ile-des-soeurs/20584409?view=summary";"Isabelle Lemieux";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-villeray-saint-michel-parc-extension/21438801?view=summary";"Guy Genois";"Residential and Commercial Real Estate Broker"
"https://www.centris.ca/en/condos-apartments~for-rent~montreal-ville-marie/14595132?view=summary";"Arnaud de la Forest Divonne";"Residential Real Estate Broker"
